,co2_万tCO2,gdp_亿元,energy_万tce,population_万人,人均CO2_tCO2_人,碳强度_tCO2_万元,能源强度_tce_万元,观测排放因子_tCO2_tce,能源效率_GDP_能源,非化石占比,电力占比
co2_万tCO2,1.0,0.8818181818181818,0.9181818181818182,0.8818181818181818,0.9818181818181818,-0.8636363636363636,-0.8636363636363636,-0.38181818181818183,0.8636363636363636,,0.7181818181818181
gdp_亿元,0.8818181818181818,1.0,0.9818181818181818,1.0,0.8090909090909091,-0.990909090909091,-0.990909090909091,-0.6272727272727273,0.990909090909091,,0.9181818181818182
energy_万tce,0.9181818181818182,0.9818181818181818,1.0,0.9818181818181818,0.8454545454545455,-0.9727272727272728,-0.9727272727272728,-0.6272727272727273,0.9727272727272728,,0.8727272727272727
population_万人,0.8818181818181818,1.0,0.9818181818181818,1.0,0.8090909090909091,-0.990909090909091,-0.990909090909091,-0.6272727272727273,0.990909090909091,,0.9181818181818182
人均CO2_tCO2_人,0.9818181818181818,0.8090909090909091,0.8454545454545455,0.8090909090909091,1.0,-0.7818181818181819,-0.7818181818181819,-0.22727272727272727,0.7818181818181819,,0.6454545454545455
碳强度_tCO2_万元,-0.8636363636363636,-0.990909090909091,-0.9727272727272728,-0.990909090909091,-0.7818181818181819,1.0,1.0,0.6454545454545455,-1.0,,-0.9454545454545454
能源强度_tce_万元,-0.8636363636363636,-0.990909090909091,-0.9727272727272728,-0.990909090909091,-0.7818181818181819,1.0,1.0,0.6454545454545455,-1.0,,-0.9454545454545454
观测排放因子_tCO2_tce,-0.38181818181818183,-0.6272727272727273,-0.6272727272727273,-0.6272727272727273,-0.22727272727272727,0.6454545454545455,0.6454545454545455,1.0,-0.6454545454545455,,-0.5727272727272728
能源效率_GDP_能源,0.8636363636363636,0.990909090909091,0.9727272727272728,0.990909090909091,0.7818181818181819,-1.0,-1.0,-0.6454545454545455,1.0,,0.9454545454545454
非化石占比,,,,,,,,,,,
电力占比,0.7181818181818181,0.9181818181818182,0.8727272727272727,0.9181818181818182,0.6454545454545455,-0.9454545454545454,-0.9454545454545454,-0.5727272727272728,0.9454545454545454,,1.0
