year,co2_万tCO2,gdp_亿元,energy_万tce,population_万人,人均CO2_tCO2_人,碳强度_tCO2_万元,能源强度_tce_万元,观测排放因子_tCO2_tce,能源效率_GDP_能源,非化石占比,电力占比
2010,56360.05184168685,41383.87,23539.31443129946,7869.34,7.161979510567195,1.3618845178492696,0.568804087952612,2.394294532501198,1.758074565883415,,0.010152335887912969
2011,65193.34222667957,45952.65,26860.02581166237,8022.99,8.125816213989992,1.4187069130219816,0.5845152741280942,2.4271511384167486,1.710819279259508,,0.009240825661054762
2012,67502.61337451234,50660.2,27999.218108462737,8119.81,8.313324249522136,1.33245848564578,0.5526866871520985,2.4108749434724297,1.8093433825099565,,0.00949297237626543
2013,66749.3756967212,55580.11,28203.10427488671,8192.44,8.147679530972603,1.2009579631404328,0.5074316023283637,2.36673860601075,1.970708949563789,,0.009641357944610894
2014,64853.27604008003,60359.43,28170.50576467711,8281.09,7.831490303822327,1.0744514326937817,0.4667125876549382,2.302169388857736,2.1426463019234983,,0.013000028729324533
2015,66074.80995111723,65552.0,29033.60806838208,8315.11,7.946354281677239,1.0079754996204118,0.44290956901974127,2.275804295335702,2.2577972343501753,,0.011231061858024256
2016,68526.12467222117,70665.70682889131,29947.976618213484,8381.47,8.175907647730192,0.9697224827616754,0.42379787823716225,2.288172104106211,2.3596154000572613,,0.012571938266691833
2017,70451.55739265206,75752.20149228282,30669.88645673547,8423.5,8.363691742464779,0.9300265339460694,0.40487122291567895,2.297092214281089,2.469921158630398,,0.01617461193693612
2018,71502.00285998797,80827.71193471196,31373.12664914354,8446.19,8.465592516861209,0.88462237948469,0.3881481474384055,2.2790843787939736,2.576335882573517,,0.02224005626566236
2019,74096.33108090873,85556.13387405091,32227.505385373526,8469.09,8.74903101524588,0.866055158476277,0.3766825816699052,2.299164337880691,2.654755087338551,,0.026604968522114983
2020,72633.32425204059,88683.21462873337,31437.9975544481,8477.26,8.568018941502395,0.8190199752694506,0.35449772187511774,2.3103673866710333,2.8208925990003384,,0.030633913128372443
