year,category,value_万tce,growth_pct
2010,第一产业,345.35580725354566,
2010,第二产业,20113.072183501798,
2010,第三产业,1932.8408147339744,
2010,居民生活,1148.0456258101444,
2010,增长率%,,
2011,第一产业,393.86702668881486,
2011,第二产业,23145.46795323644,
2011,第三产业,2115.564001736611,
2011,居民生活,1205.1268300005045,
2011,增长率%,,14.107086211259666
2012,第一产业,448.9486951526875,
2012,第二产业,23869.2173402831,
2012,第三产业,2308.9639638542008,
2012,居民生活,1372.088109172749,
2012,增长率%,,4.241218175992012
2013,第一产业,362.17627863487695,
2013,第二产业,23889.13663189862,
2013,第三产业,2481.8843807447597,
2013,居民生活,1469.9069836084582,
2013,增长率%,,0.7281852144376488
2014,第一产业,383.7237045773141,
2014,第二产业,23670.133485910475,
2014,第三产业,2644.196782198956,
2014,居民生活,1472.4517919903642,
2014,增长率%,,-0.11558483027922506
2015,第一产业,429.3739020744315,
2015,第二产业,24261.962681300487,
2015,第三产业,2776.110619629142,
2015,居民生活,1566.1608653780197,
2015,增长率%,,3.063850933010981
2016,第一产业,433.4621512932264,
2016,第二产业,24929.674766339896,
2016,第三产业,2878.533818509393,
2016,居民生活,1706.305882070972,
2016,增长率%,,3.149345226669098
2017,第一产业,440.48634995125246,
2017,第二产业,25317.55585221128,
2017,第三产业,3049.2013959780406,
2017,居民生活,1862.6428585948931,
2017,增长率%,,2.4105462874007166
2018,第一产业,457.9946634938372,
2018,第二产业,25580.65550873942,
2018,第三产业,3300.789573677942,
2018,居民生活,2033.6869032323432,
2018,增长率%,,2.292933798108776
2019,第一产业,438.5761222510792,
2019,第二产业,26196.116806475096,
2019,第三产业,3522.384771302536,
2019,居民生活,2070.4276853448173,
2019,增长率%,,2.723282080822842
2020,第一产业,423.7818192603138,
2020,第二产业,25325.99306238337,
2020,第三产业,3507.6180865862634,
2020,居民生活,2180.6045862181545,
2020,增长率%,,-2.449795047691594
