indicator_key,indicator_name,unit,year,value
co2,碳排放量,万tCO2,2010,56360.05184168685
co2,碳排放量,万tCO2,2011,65193.34222667957
co2,碳排放量,万tCO2,2012,67502.61337451234
co2,碳排放量,万tCO2,2013,66749.3756967212
co2,碳排放量,万tCO2,2014,64853.27604008003
co2,碳排放量,万tCO2,2015,66074.80995111723
co2,碳排放量,万tCO2,2016,68526.12467222117
co2,碳排放量,万tCO2,2017,70451.55739265206
co2,碳排放量,万tCO2,2018,71502.00285998797
co2,碳排放量,万tCO2,2019,74096.33108090873
co2,碳排放量,万tCO2,2020,72633.32425204059
energy,能源消费量,万tce,2010,23539.31443129946
energy,能源消费量,万tce,2011,26860.02581166237
energy,能源消费量,万tce,2012,27999.218108462737
energy,能源消费量,万tce,2013,28203.10427488671
energy,能源消费量,万tce,2014,28170.50576467711
energy,能源消费量,万tce,2015,29033.60806838208
energy,能源消费量,万tce,2016,29947.976618213484
energy,能源消费量,万tce,2017,30669.88645673547
energy,能源消费量,万tce,2018,31373.12664914354
energy,能源消费量,万tce,2019,32227.505385373526
energy,能源消费量,万tce,2020,31437.9975544481
gdp,地区生产总值,亿元,2010,41383.87
gdp,地区生产总值,亿元,2011,45952.65
gdp,地区生产总值,亿元,2012,50660.2
gdp,地区生产总值,亿元,2013,55580.11
gdp,地区生产总值,亿元,2014,60359.43
gdp,地区生产总值,亿元,2015,65552.0
gdp,地区生产总值,亿元,2016,70665.70682889131
gdp,地区生产总值,亿元,2017,75752.20149228282
gdp,地区生产总值,亿元,2018,80827.71193471196
gdp,地区生产总值,亿元,2019,85556.13387405091
gdp,地区生产总值,亿元,2020,88683.21462873337
population,常住人口,万人,2010,7869.34
population,常住人口,万人,2011,8022.99
population,常住人口,万人,2012,8119.81
population,常住人口,万人,2013,8192.44
population,常住人口,万人,2014,8281.09
population,常住人口,万人,2015,8315.11
population,常住人口,万人,2016,8381.47
population,常住人口,万人,2017,8423.5
population,常住人口,万人,2018,8446.19
population,常住人口,万人,2019,8469.09
population,常住人口,万人,2020,8477.26
