sector,year,value,share
碳排放量,2010,56360.05184168685,0.9052611335006174
第三产业,2010,5898.284185338009,0.09473886649938257
碳排放量,2011,65193.34222667957,0.9082648480619954
第三产业,2011,6584.556439976378,0.09173515193800455
碳排放量,2012,67502.61337451234,0.9042500022169048
第三产业,2012,7147.774470684835,0.09574999778309533
碳排放量,2013,66749.3756967212,0.8954737899712877
第三产业,2013,7791.472337325053,0.10452621002871242
碳排放量,2014,64853.27604008003,0.8941659275258558
第三产业,2014,7676.076783202002,0.10583407247414414
碳排放量,2015,66074.80995111723,0.8882295430064827
第三产业,2015,8314.530587441044,0.11177045699351734
碳排放量,2016,68526.12467222117,0.8861846465758239
第三产业,2016,8801.01582496857,0.11381535342417609
碳排放量,2017,70451.55739265206,0.8809134504823767
第三产业,2017,9524.014956792378,0.11908654951762328
碳排放量,2018,71502.00285998797,0.8727833285864245
第三产业,2018,10422.113376047258,0.12721667141357548
碳排放量,2019,74096.33108090873,0.8691928228342818
第三产业,2019,11150.95713218753,0.1308071771657183
碳排放量,2020,72633.32425204059,0.8694504173776698
第三产业,2020,10906.02750433484,0.13054958262233018
