sector,year,value,share
能源消费量,2010,23539.31443129946,0.5163803222806352
第二产业,2010,20113.072183501798,0.4412190816551743
第三产业,2010,1932.8408147339744,0.04240059606419037
能源消费量,2011,26860.02581166237,0.5153392306795517
第二产业,2011,23145.46795323644,0.444071339781072
第三产业,2011,2115.564001736611,0.04058942953937631
能源消费量,2012,27999.218108462737,0.5168062404625305
第二产业,2012,23869.2173402831,0.4405751770863301
第三产业,2012,2308.9639638542008,0.0426185824511393
能源消费量,2013,28203.10427488671,0.5167852737225818
第二产业,2013,23889.13663189862,0.43773741688091083
第三产业,2013,2481.8843807447597,0.045477309396507314
能源消费量,2014,28170.50576467711,0.5170338724654573
第二产业,2014,23670.133485910475,0.4344352522537986
第三产业,2014,2644.196782198956,0.04853087528074411
能源消费量,2015,29033.60806838208,0.5177944973177193
第二产业,2015,24261.962681300487,0.43269547280918835
第三产业,2015,2776.110619629142,0.049510029873092415
能源消费量,2016,29947.976618213484,0.5185241461658269
第二产业,2016,24929.674766339896,0.4316364503419089
第三产业,2016,2878.533818509393,0.049839403492264345
能源消费量,2017,30669.88645673547,0.5195059294025722
第二产业,2017,25317.55585221128,0.4288447693394079
第三产业,2017,3049.2013959780406,0.051649301258019836
能源消费量,2018,31373.12664914354,0.5206762864221062
第二产业,2018,25580.65550873942,0.4245429811152481
第三产业,2018,3300.789573677942,0.054780732462645865
能源消费量,2019,32227.505385373526,0.5202515378359124
第二产业,2019,26196.116806475096,0.4228862858272361
第三产业,2019,3522.384771302536,0.05686217633685157
能源消费量,2020,31437.9975544481,0.5216054163934302
第二产业,2020,25325.99306238337,0.4201977283700285
第三产业,2020,3507.6180865862634,0.058196855236541285
