主题,项目,子项,单位,细分项,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
产业能耗结构,第一产业,农林消费部门,万tce,煤炭,36.186438,40.24366200000001,38.722203,36.650733,36.179295,36.050721,35.022129,34.636407000000005,33.664959,32.379219,31.757778000000002
产业能耗结构,第一产业,农林消费部门,万tce,油品,274.31493265503207,313.05407864802027,363.57365670559386,272.1869508402546,290.2484351688971,328.7883973724587,322.401799713888,323.77733096081744,335.866293127088,312.0309324408496,293.32306089266126
产业能耗结构,第一产业,农林消费部门,万tce,天然气,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
产业能耗结构,第一产业,农林消费部门,万tce,热力,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
产业能耗结构,第一产业,农林消费部门,万tce,电力,34.85443659851358,40.569286040794545,46.652835447093636,53.33859479462233,57.295974408416896,64.53478370197278,76.03822257933834,82.07261199043502,88.46341136674921,94.16597081022958,98.70098036765253
产业能耗结构,第一产业,农林消费部门,万tce,其他能源,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
产业能耗结构,第二产业,总量,万tce,煤炭,17865.694603926433,20934.089825875984,21121.274665173834,21159.594590565815,20488.617192181846,20810.814829744115,21409.80593261883,21022.01792005894,20614.643382407216,21034.30736682194,20260.682737487325
产业能耗结构,第二产业,总量,万tce,油品,1574.8131890027782,1397.2639202254777,1650.451642336701,1521.2238050936248,1671.6081635842622,1622.7824217030968,1717.2520310342318,1513.720823396594,1572.8359282630756,1570.6439119781764,1503.396717937248
产业能耗结构,第二产业,总量,万tce,天然气,817.811952,1040.9280800000001,1289.1745799999999,1370.936856,1363.523052,1771.2432880000001,1833.424684,2683.752088,3124.157924,3151.458908,3034.8838880000003
产业能耗结构,第二产业,总量,万tce,热力,-36.916667751757586,-26.681209602517356,-17.10592759190081,-25.944990447926102,-22.025876624991042,-19.53214310135718,-7.008574471659813,-6.557772377000674,-7.827315643578913,-8.529434791009862,-10.261033154610686
产业能耗结构,第二产业,总量,万tce,电力,-269.74089367566194,-376.4426632625068,-413.60761963553387,-416.9136293128977,-151.3390452306403,-255.70571504537293,-339.76930684150466,-237.0372068672541,-99.524410287293,56.70605446598711,183.28075211341093
产业能耗结构,第二产业,总量,万tce,其他能源,161.41,176.31,239.02999999999997,280.24,319.75,332.36,315.96999999999997,341.66,376.37,391.53000000000003,354.01
产业能耗结构,第二产业,能源供应部门,万tce,煤炭,10530.189885966955,13115.374595001567,13610.8241780578,13202.626594854917,12130.49382736276,12426.868865633895,12992.04237808465,12759.392167893442,12683.302805377745,12204.499490052693,11969.33815725684
产业能耗结构,第二产业,能源供应部门,万tce,油品,172.950673691067,140.74118625272,214.55054015696246,183.97258900857156,235.18038955192904,182.21355061880408,204.87562804372638,163.32141998733888,221.17551981843923,280.5884030226403,277.74211862434765
产业能耗结构,第二产业,能源供应部门,万tce,天然气,373.73,520.1630000000001,611.667,601.825,543.30584,847.5932160000001,876.7956600000001,1663.340404,1819.159696,1774.4511719999998,1368.522232
产业能耗结构,第二产业,能源供应部门,万tce,热力,-1669.8886036430167,-1727.7300587885588,-1764.3510794782364,-1882.8891833688538,-1824.4932621068851,-1865.892375799866,-1989.915806842292,-2124.7728101595503,-2255.879835689388,-2260.6320126872497,-2244.5112343022106
产业能耗结构,第二产业,能源供应部门,万tce,电力,-3731.8089758082706,-4218.087358351778,-4493.985541426541,-4822.177669397877,-4725.062098875503,-4869.850574745422,-5164.94573594673,-5286.3955040943,-5346.751688204067,-5261.692606505086,-5217.571510810917
