主题,项目,子项,单位,细分项,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
生产总值,GDP,总量,亿元,-,41383.87,45952.65,50660.2,55580.11,60359.43,65552.0,70665.70682889131,75752.20149228282,80827.71193471196,85556.13387405091,88683.21462873337
生产总值,第一产业,农林消费部门,亿元,-,2409.24,2736.8614125208005,3057.8233605800315,3228.53880811789,3358.6132174804734,3636.0807225447766,3690.609594620016,3568.5411882893677,3591.607576823078,3726.6074532802345,3916.811805086726
生产总值,第二产业,总量,亿元,-,21853.6,23739.961440950825,25612.909652950955,27298.131018256117,28907.535735276495,30700.410015559406,32013.02229795535,34514.3326815661,36533.741980675346,37730.14436517704,38183.22557284596
生产总值,第二产业,能源供应部门,亿元,-,904.6459132671658,947.4308667820843,1121.1452841695886,1065.4463329487814,1149.8180915741766,1357.6276321142677,1417.9030175713965,1526.9840992805512,1604.5602737872225,1692.6975970583808,1660.679968048458
生产总值,第二产业,工业消费部门,亿元,-,20948.954086732832,22792.53057416874,24491.764368781365,26232.684685307337,27757.71764370232,29342.782383445137,30595.119280383955,32987.348582285544,34929.18170688812,36037.44676811866,36522.5456047975
生产总值,第三产业,总量,亿元,-,17121.03,19475.827146528376,21989.46698646901,25053.440173625986,28093.281047243032,31215.509261895822,34962.07493631594,37669.32762242736,40702.36237721354,44099.38205559363,46583.17725080069
生产总值,第三产业,交通消费部门,亿元,-,1767.2244526295203,1988.4262206316955,2199.509572632076,2233.937114626717,2378.9254391352206,2240.394696694016,2316.430217174497,2420.169185239875,2570.6767052280575,2749.0802061606855,2761.5106468268996
生产总值,第三产业,建筑消费部门,亿元,-,15353.805547370479,17487.40092589668,19789.957413836935,22819.503058999268,25714.355608107813,28975.114565201806,32645.644719141445,35249.158437187485,38131.685671985484,41350.301849432944,43821.66660397379
能源消费量,能源消费量,总量,万tce,-,23539.31443129946,26860.02581166237,27999.218108462737,28203.10427488671,28170.50576467711,29033.608068382076,29947.976618213484,30669.88645673547,31373.12664914354,32227.505385373526,31437.9975544481
能源消费量,第一产业,农林消费部门,万tce,-,345.35580725354566,393.86702668881486,448.9486951526875,362.17627863487695,383.72370457731404,429.3739020744315,433.4621512932264,440.48634995125246,457.9946634938372,438.57612225107914,423.7818192603138
能源消费量,第二产业,总量,万tce,-,20113.072183501794,23145.46795323644,23869.2173402831,23889.13663189862,23670.133485910475,24261.962681300487,24929.674766339896,25317.55585221128,25580.65550873942,26196.116806475096,25325.99306238337
能源消费量,第二产业,能源供应部门,万tce,发电,5752.095497197006,6992.753613626196,7339.97797337275,7820.622677237649,6951.04808534304,7380.488915098469,7786.515815381225,8219.691059507877,8104.870882867784,8131.547471439193,7491.0483759503895
能源消费量,第二产业,能源供应部门,万tce,供热,204.8411857878123,286.72860379100916,354.0933672445261,335.1764537043137,382.0977466542541,440.86330844564094,415.01009034316246,523.9776714147024,1010.7895370665619,953.1199938926179,1003.9694483524332
