主题,项目,子项,单位,细分项,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
能源消费量,能源消费量,总量,万tce,-,23539.31443129946,26860.02581166237,27999.218108462737,28203.10427488671,28170.50576467711,29033.608068382076,29947.976618213484,30669.88645673547,31373.12664914354,32227.505385373526,31437.9975544481
能源消费量,第一产业,农林消费部门,万tce,-,345.35580725354566,393.86702668881486,448.9486951526875,362.17627863487695,383.72370457731404,429.3739020744315,433.4621512932264,440.48634995125246,457.9946634938372,438.57612225107914,423.7818192603138
能源消费量,第二产业,总量,万tce,-,20113.072183501794,23145.46795323644,23869.2173402831,23889.13663189862,23670.133485910475,24261.962681300487,24929.674766339896,25317.55585221128,25580.65550873942,26196.116806475096,25325.99306238337
能源消费量,第二产业,能源供应部门,万tce,发电,5752.095497197006,6992.753613626196,7339.97797337275,7820.622677237649,6951.04808534304,7380.488915098469,7786.515815381225,8219.691059507877,8104.870882867784,8131.547471439193,7491.0483759503895
能源消费量,第二产业,能源供应部门,万tce,供热,204.8411857878123,286.72860379100916,354.0933672445261,335.1764537043137,382.0977466542541,440.86330844564094,415.01009034316246,523.9776714147024,1010.7895370665619,953.1199938926179,1003.9694483524332
能源消费量,第二产业,能源供应部门,万tce,其他转换,-610.674104290101,243.37217290425198,223.05314269666206,-968.0381741473418,-1181.686756858759,-1275.5907583089888,-1334.3202663037514,-1635.7031868005715,-2028.8169039924396,-2376.42965400058,-2414.6633436989423
能源消费量,第二产业,能源供应部门,万tce,损失,454.1304015120163,450.7569737924938,457.5006139960452,353.56637430213493,500.14562079376674,474.0112164722884,337.9164839187184,377.2701335049227,370.15298136082407,378.326634551766,372.89528216417955
能源消费量,第二产业,工业消费部门,万tce,-,14312.67920329506,15171.856589122488,15494.592242973116,16347.80930080186,17018.528789978176,17242.189999593076,17724.55264300054,17832.32017458435,18123.659011436688,19109.552360592097,18872.74329961531
能源消费量,第三产业,总量,万tce,-,1932.8408147339746,2115.564001736611,2308.9639638542008,2481.8843807447593,2644.1967821989556,2776.110619629142,2878.533818509393,3049.2013959780406,3300.789573677942,3522.384771302536,3507.6180865862634
能源消费量,第三产业,交通消费部门,万tce,-,1398.2619776707902,1494.7386706473028,1618.152854400306,1743.6709983974667,1915.875700124185,2019.2855197624563,2083.5908407890665,2187.957482163089,2324.6533110541336,2482.9250537750127,2484.4650329971887
能源消费量,第三产业,建筑消费部门,万tce,-,534.5788370631843,620.8253310893081,690.8111094538947,738.2133823472927,728.3210820747706,756.8250998666858,794.9429777203263,861.2439138149517,976.1362626238084,1039.4597175275235,1023.1530535890747
能源消费量,居民生活,居民生活消费,万tce,-,1148.0456258101444,1205.1268300005045,1372.088109172749,1469.9069836084582,1472.4517919903642,1566.1608653780195,1706.305882070972,1862.6428585948934,2033.6869032323432,2070.4276853448173,2180.6045862181545
